All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
85,GPIO44,,GPIO44,,,OUTPUTXBAR7,GPIO44,EQEP1_A,PMBUSA_SDA,FSITXA_CLK,GPIO44,PMBUSA_CTL,CLB_OUTPUTXBAR3,FSIRXA_D0,GPIO44,HIC_D7,LINB_TX,HIC_D5
86,VSS,VSS
87,VDD,VDD
88,VDDIO,VDDIO
89,GPIO5,,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,MCAN_RX,CANA_RX,SPIA_STE,GPIO5,FSITXA_D1,CLB_OUTPUTXBAR5,,GPIO5,HIC_A7,HIC_D4,HIC_D15
90,GPIO9,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,FSITXA_D0,LINB_RX,GPIO9,HIC_BASESEL0,I2CB_SCL,HIC_NRDY
91,GPIO61,,GPIO61,,,MCAN_RX,GPIO61,OUTPUTXBAR4,SPIB_SOMI,SD2_C3,GPIO61,,,,GPIO61,,CANA_RX,
92,GPIO59,,GPIO59,,,,GPIO59,OUTPUTXBAR2,SPIB_STE,SD2_C2,GPIO59,LINA_RX,CANA_RX,EQEP1_INDEX,GPIO59,SD2_C3,FSITXA_TDM_D1,
93,GPIO10,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SPIA_SOMI,GPIO10,I2CA_SDA,FSITXA_CLK,LINB_TX,GPIO10,HIC_NWE,FSITXA_TDM_D0,CLB_OUTPUTXBAR4
94,GPIO34,,GPIO34,OUTPUTXBAR1,,,GPIO34,,PMBUSA_SDA,,GPIO34,,,,GPIO34,HIC_NBE1,I2CB_SDA,HIC_D9
95,GPIO15,,GPIO15,EPWM8_B,SCIB_RX,,GPIO15,I2CB_SCL,OUTPUTXBAR4,PMBUSA_SCL,GPIO15,SPIB_STE,EQEP2_B,LINB_RX,GPIO15,EPWM3_B,CLB_OUTPUTXBAR6,HIC_D12
96,GPIO14,,GPIO14,EPWM8_A,SCIB_TX,,GPIO14,I2CB_SDA,OUTPUTXBAR3,PMBUSA_SDA,GPIO14,SPIB_CLK,EQEP2_A,LINB_TX,GPIO14,EPWM3_A,CLB_OUTPUTXBAR7,HIC_D15
97,GPIO6,EPWM4_A,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,SPIB_SOMI,GPIO6,FSITXA_D0,,FSITXA_D1,GPIO6,HIC_NBE1,CLB_OUTPUTXBAR8,HIC_D14
98,GPIO30,,GPIO30,CANA_RX,,SPIB_SIMO,GPIO30,OUTPUTXBAR7,EQEP1_STROBE,SD2_D4,GPIO30,FSIRXA_CLK,MCAN_RX,EPWM1_A,GPIO30,,HIC_D8,
99,GPIO31,,GPIO31,CANA_TX,,SPIB_SOMI,GPIO31,OUTPUTXBAR8,EQEP1_INDEX,SD2_C4,GPIO31,FSIRXA_D1,MCAN_TX,EPWM1_B,GPIO31,,HIC_D10,
100,GPIO29,SCIA_TX,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,SD2_C3,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_STE,GPIO29,ERRORSTS,I2CB_SCL,HIC_NCS

